CODENAME        OSARCH        CATEGORY                    PACKAGE                         VERSION                FILENAME                                                 MD5                                     
focal           armhf         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         f78f6d7db7e9d9fb831e3bab1d01bbb4        
jammy           amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         185464581dda0787eef4410222213c83        
stretch         amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         48af24c3f6466f864519a7660ef798d4        
stretch         arm64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         48af24c3f6466f864519a7660ef798d4        
stretch         armhf         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         48af24c3f6466f864519a7660ef798d4        
xenial          amd64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         bfbc1440cf56bac61e13b1d8bd0b386d        
xenial          arm64         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         cdb3489fa48b8a865869b0116abea7b7        
xenial          armhf         deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         e94d8524399d2f17439790e085bf45e9        
bionic          amd64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    9b283f069d4e161f3b2b501277285246        
bionic          arm64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    9b283f069d4e161f3b2b501277285246        
bionic          armhf         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    9b283f069d4e161f3b2b501277285246        
buster          amd64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    815bb3f6313f8dbf01624f8f50b9ffb5        
buster          arm64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    815bb3f6313f8dbf01624f8f50b9ffb5        
buster          armhf         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    815bb3f6313f8dbf01624f8f50b9ffb5        
jessie          amd64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    28f703d1a18a8c9ac4a64d259ec2a5a2        
jessie          armhf         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    8e34bbf3768027359395a50103ac1a93        
stretch         amd64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    2135d34e7aa6bb32427d8ba3f84256c8        
stretch         arm64         deluge                      deluge-torrent                  1.3.15                 deluge-torrent_1.3.15-1build1_all.deb                    2135d34e7aa6bb32427d8ba3f84256c8        
